Ace of Spades,0
Ace of Clubs,1
Ace of Hearts,2
Ace of Diamonds,3
Two of Spades,0
Two of Clubs,1
Two of Hearts,2
Two of Diamonds,3
Three of Spades,0
Three of Clubs,1
Three of Hearts,2
Three of Diamonds,3
Four of Spades,0
Four of Clubs,1
Four of Hearts,2
Four of Diamonds,3
Five of Spades,0
Five of Clubs,1
Five of Hearts,2
Five of Diamonds,3
Six of Spades,0
Six of Clubs,1
Six of Hearts,2
Six of Diamonds,3
Seven of Spades,0
Seven of Clubs,1
Seven of Hearts,2
Seven of Diamonds,3
Eight of Spades,0
Eight of Clubs,1
Eight of Hearts,2
Eight of Diamonds,3
Nine of Spades,0
Nine of Clubs,1
Nine of Hearts,2
Nine of Diamonds,3
Ten of Spades,0
Ten of Clubs,1
Ten of Hearts,2
Ten of Diamonds,3
Jack of Spades,0
Jack of Clubs,1
Jack of Hearts2
Jack of Diamonds,3
Queen of Spades,0
Queen of Clubs,1
Queen of Hearts,2
Queen of Diamonds,3
King of Spades,0
King of Clubs,1
King of Hearts,2
King of Diamonds,3
